"Neighborhood;Community area;Latitude;Longitude"
"Englewood;Englewood;41.7797559;-87.6458836"
"Fernwood;Roseland;41.70397535;-87.63910080862382"
"Fifth City;East Garfield Park;0;0"
"Ford City;West Lawn;0;0"
"Forest Glen;Forest Glen;41.978588349999995;-87.75193466758846"
"Fuller Park;Fuller Park;41.8180891;-87.6325508"
"Fulton River District;Near West Side;0;0"
"Gage Park;Gage Park;41.795033;-87.6961636"
"Galewood;Austin;41.909481299999996;-87.78934699570152"
"The Gap;Douglas;0;0"
"Garfield Ridge;Garfield Ridge;41.7873216;-87.7450246"
"Gladstone Park;Jefferson Park;41.979401499999994;-87.77293944218363"
"Gold Coast;Near North Side;41.9066994;-87.6253308"
"Golden Gate;Riverdale;41.65808835;-87.61153343590735"
"Goose Island;Near North Side;41.9100483;-87.6557648"
"Graceland West;Lake View;0;0"
"Grand Boulevard;Grand Boulevard;41.8139226;-87.6172724"
"Grand Crossing;Greater Grand Crossing;41.75559;-87.6003258"
"Greater Grand Crossing;Greater Grand Crossing;41.753389;-87.6302538916728"
"Greektown;Near West Side;41.8784447;-87.6469318"
"Gresham;Auburn Gresham;41.7366279;-87.6446465"
"Groveland Park;Douglas;41.833644050000004;-87.61025618992974"
"Hamilton Park;Englewood;41.761678;-87.637357357335"
"Hanson Park;Belmont Cragin;41.9205872;-87.7700585"
"Heart of Chicago;Lower West Side;41.8569774;-87.648108"
"Hegewisch;Hegewisch;41.6536462;-87.5469885"
"Hermosa;Hermosa;41.928643;-87.7345019"
"Hollywood Park;North Park;41.9894369;-87.71178228098984"
"Homan Square;North Lawndale;41.86852055;-87.70939862196498"
"Humboldt Park;Humboldt Park;41.904292600000005;-87.70188253089864"
"Hyde Park;Hyde Park;41.7944464;-87.5939244"
"Illinois Medical District;Near West Side;41.8756545;-87.6731273"
"Irving Park;Irving Park;41.953365;-87.7364471"
"Irving Woods;Dunning;0;0"
"The Island;Austin;41.8878759;-87.7648508"
"Jackowo;Avondale;41.9389208;-87.711168"
"Jackson Park Highlands;South Shore;0;0"
"Jefferson Park;Jefferson Park;41.9697375;-87.7631179"
"K-Town;North Lawndale;0;0"
"Kelvyn Park;Hermosa;41.9293178;-87.73796766414256"
"Kennedy Park;Morgan Park;41.68722635;-87.68348164192501"
"Kensington;Roseland;41.6861072;-87.6120907"
"Kenwood;Kenwood;41.8091444;-87.5979908"
"Kilbourn Park;Irving Park;41.94505385;-87.739044020067"
"Kosciuszko Park;Logan Square;41.930697800000004;-87.72449524577925"
"Lake Meadows;Douglas;41.83454415;-87.61431652484956"
"Lake View;Lake View;43.8826778;-85.8042654"
"Lake View East;Lake View;0;0"
"Lakewood / Balmoral;Edgewater;0;0"
"LeClaire Courts;Garfield Ridge;41.8158657;-87.7439436"
"Legends South (Robert Taylor Homes);Grand Boulevard;0;0"
"Lilydale;Roseland;41.7242009;-87.625326"
"Lincoln Park;Lincoln Park;41.9216992;-87.647832"
"Lincoln Square;Lincoln Square;42.2669968;-71.7984322"
"Lithuanian Plaza;Chicago Lawn;41.7682602;-87.6882371"
"Little Italy;Near West Side;0;0"
"Little Village;South Lawndale;0;0"
"Logan Square;Logan Square;41.9285683;-87.7067931"
"Longwood Manor;Washington Heights;41.6903981;-87.6721901"
"The Loop;The Loop;41.8816094;-87.6294574"
"Lower West Side;Lower West Side;41.8541996;-87.6656086"
"Loyola;Rogers Park;42.0013525;-87.6613062"
"Magnificent Mile;Near North Side;41.8945229;-87.624228"
"Margate Park;Uptown;0;0"
"Marquette Park;Chicago Lawn;41.7685506;-87.70288261909127"
"Marshall Square;South Lawndale;41.85220125;-87.69405421033488"
"Marynook;Avalon Park;41.73910685;-87.5934787682317"
"Mayfair;Albany Park;41.9680872;-87.7378365"
"McKinley Park;McKinley Park;41.8316997;-87.6736638"
"Merchant Park;Irving Park;0;0"
"Montclare;Montclare;41.9253091;-87.8008931"
"Morgan Park;Morgan Park;41.6903117;-87.6667156"
"Mount Greenwood;Mount Greenwood;41.6980891;-87.7086616"
"Museum Campus;Near South Side;41.8661913;-87.61687645616223"
"New Eastside;The Loop;0;0"
"Near North Side;Near North Side;41.9000327;-87.6344975"
"Near West Side;Near West Side;41.8800656;-87.6667624"
"New Chinatown;Uptown;0;0"
"New City;New City;41.8075333;-87.6564403"
"Noble Square;West Town;0;0"
"North Austin;Austin;41.8878759;-87.7648508"
"North Center;North Center;41.9561073;-87.6791596"
"North Halsted;Lake View;0;0"
"North Kenwood;Kenwood;41.8091444;-87.5979908"
"North Lawndale;North Lawndale;41.8600324;-87.7183883"
"North Mayfair;Albany Park;41.9680872;-87.7378365"
"North Park;North Park;0;0"
"Nortown;West Ridge;41.9105303;-87.6606108"
"Norwood Park East;Norwood Park;41.987245200000004;-87.79309831150799"
"Norwood Park West;Norwood Park;41.987245200000004;-87.79309831150799"
"Oakland;Oakland;42.679555;-83.305436"
"O'Hare;O'Hare;41.9779212;-87.9031406"
"Old Edgebrook;Forest Glen;41.9996772;-87.7641002"
"Old Irving Park;Irving Park;41.953365;-87.7364471"
"Old Norwood;Norwood Park;41.9979032;-87.7887069"
"Old Town;Near North Side;0;0"
"Old Town Triangle;Lincoln Park;0;0"
"Oriole Park;Norwood Park;41.9789798;-87.8153295365849"
"Palmer Square;Logan Square;0;0"
"Park Manor;Greater Grand Crossing;41.7697562;-87.6181046"
"Park West;Lincoln Park;41.92089165;-87.64566089421712"
"Parkview;Ashburn;0;0"
"Peterson Park;West Ridge;41.9891652;-87.720430593769"
"Pill Hill;Calumet Heights;41.7273953;-87.5671979"
"Pilsen;Lower West Side;41.8575329;-87.6575528"
"Polish Downtown;West Town,Logan Square;0;0"
"Polish Village;Avondale, Irving Park;0;0"
"Portage Park;Portage Park;41.9578093;-87.7650594"
"Prairie Avenue Historic District;Near South Side;41.8564221;-87.6208847"
"Prairie Shores;Douglas;41.84161365;-87.61640396231701"
"Princeton Park;Roseland;41.7262979;-87.6311389705345"
"Printer's Row;The Loop;41.8737868;-87.6288996"
"Pulaski Park;West Town;41.90612025;-87.66330502551719"
"Pullman;Pullman;41.6922182;-87.6066039"
"Ranch Triangle;Lincoln Park;0;0"
"Ravenswood;Lincoln Square;41.9685952;-87.6744754"
"Ravenswood Gardens;Lincoln Square;41.9639574;-87.695167"
"Ravenswood Manor;Albany Park;41.9646219;-87.7013797"
"River North;Near North Side;41.8964706;-87.6357194"
"River West;West Town;41.8961978;-87.6553579"
"River's Edge;North Park;0;0"
"Riverdale;Riverdale;41.6678347;-87.6049644"
"Rogers Park;Rogers Park;42.009574;-87.6755503"
"Roscoe Village;North Center;41.9434029;-87.6791415"
"Rosehill;West Ridge;0;0"
"Roseland;Roseland;41.7019787;-87.625881"
"Rosemoor;Roseland;41.7068051;-87.6072928"
"Saint Ben's;North Center;0;0"
"Sauganash;Forest Glen;41.9900357;-87.7422893"
"Schorsch Forest View;O'Hare;0;0"
"Schorsch Village;Dunning;41.9472536;-87.7792263"
"Scottsdale;Ashburn;41.74918275;-87.72456201344517"
"Sheffield Neighbors;Lincoln Park;0;0"
"Sheridan Park;Uptown;41.95525215;-87.65415838573757"
"Sheridan Station Corridor;Lakeview;0;0"
"Sleepy Hollow;Garfield Ridge;41.8141992;-87.7411657"
"Smith Park;West Town;41.89278415;-87.69044791867984"
"South Austin;Austin;41.8878759;-87.7648508"
"South Chicago;South Chicago;41.7345874;-87.5513222"
"South Commons;Douglas;41.8425333;-87.6219955"
"South Deering;South Deering;41.718801;-87.54575038963026"
"South East Ravenswood;Lake View;41.954644200000004;-87.6640113124862"
"South Edgebrook;Forest Glen;41.989607899999996;-87.75468774286338"
"South Lawndale;South Lawndale;41.8436437;-87.7125544"
"South Loop;The Loop;41.8617846;-87.6261213"
"South Shore;South Shore;41.7587276;-87.5752828"
"Stateway Gardens;Douglas;41.82639525;-87.6271422"
"Stony Island Park;Avalon Park;41.7389748;-87.57298030006798"
"Streeterville;Near North Side;41.8933653;-87.6219967"
"Talley's Corner;Mount Greenwood;0;0"
"Tri-Taylor;Near West Side;41.870006399999994;-87.6606942"
"Ukrainian Village;West Town;41.8963523;-87.6847499"
"Union Ridge;Norwood Park;0;0"
"University Village;Near West Side;0;0"
"Uptown;Uptown;41.9694501;-87.6605129"
"The Villa;Irving Park;41.953365;-87.7364471"
"Vittum Park;Garfield Ridge;41.8033556;-87.74853092358993"
"Wac?awowo;Avondale;0;0"
"Washington Heights;Washington Heights;41.7055956;-87.6559311"
"Washington Park;Washington Park;41.7925338;-87.6181052"
"Wentworth Gardens;Armour Square;41.82544729999999;-87.63260249548551"
"West Beverly;Beverly;41.7181532;-87.6717674"
"West Chatham;Chatham;41.7411454;-87.6125481"
"West Chesterfield;Chatham; Roseland;0;0"
"West DePaul;Lincoln Park;0;0"
"West Elsdon;West Elsdon;41.7939217;-87.7244978"
"West Englewood;West Englewood;41.7780891;-87.6667177"
"West Garfield Park;West Garfield Park;41.8805878;-87.7292227"
"West Humboldt Park;Austin; Humboldt Park;0;0"
"West Lakeview;Lake View;0;0"
"West Lawn;West Lawn;41.7728107;-87.722275"
"West Loop;Near West Side;41.8823318;-87.6385777"
"West Morgan Park;Morgan Park;41.690222649999995;-87.65781583533435"
"West Pullman;West Pullman;41.6750456;-87.637823"
"West Ridge;West Ridge;42.0035482;-87.6962426"
"West Rogers Park;West Ridge;0;0"
"West Town;West Town;41.9014213;-87.6861661"
"West Woodlawn;Woodlawn;41.7794786;-87.599493"
"Wicker Park;West Town;41.9078018;-87.6781551"
"Wildwood;Forest Glen;42.00469075;-87.77592449680378"
"Woodlawn;Woodlawn;41.7794786;-87.599493"
"Wrightwood;Ashburn;41.7496819;-87.69323442096774"
"Wrightwood Neighbors;Lincoln Park;0;0"
"Wrigleyville;Lake View;41.947022;-87.6564773"
